jobID,endTime,exeTime
4665896876,116100000000,5238000000
6218406404,115868000000,4623000000
6221861800,115858000000,5011000000
6238340468,115870000000,5004000000
6259570072,115871000000,5006000000
6260547229,115862000000,4371000000
6261380756,112308000000,1456000000
6261908118,116100000000,5093000000
6262709153,111464000000,327000000
6262962241,112822000000,1174000000
6263164283,115859000000,4256000000
6263504401,111000000000,97000000
6263532214,110893000000,28000000
6263592412,111158000000,287000000
6263617273,111611000000,545000000
6263621645,110929000000,63000000
6263622929,110848000000,1000000
4976642279,116096000000,5248000000
5822896270,116100000000,5230000000
6124898063,116100000000,5222000000
6258311342,113700000000,1686000000
6258695096,116023000000,5153000000
6262969503,110894000000,26000000
6263028113,110884000000,20000000
6263103422,115863000000,4202000000
6263559039,112273000000,1276000000
6263594499,110947000000,88000000
6263614548,110887000000,39000000
6263621639,110898000000,50000000
5972395507,112200000000,819000000
6147162441,116100000000,5251000000
6207099771,114300000000,2875000000
6233284111,115869000000,5020000000
6262933163,112509000000,1092000000
6263034887,116100000000,4383000000
6263510413,112215000000,1363000000
6000618870,116100000000,5250000000
6217659576,115869000000,4708000000
6226140072,116100000000,5250000000
6261900178,116100000000,5250000000
6262703345,111469000000,376000000
6263029973,116100000000,4307000000
6263094011,115864000000,4326000000
6263103636,115881000000,4553000000
6263564284,116100000000,5125000000
6263564478,116100000000,5115000000
6263610383,111000000000,148000000
6263616272,111628000000,567000000
6263621637,110915000000,65000000
4121195473,115951000000,4696000000
4665897969,115986000000,5135000000
6249834537,115872000000,4805000000
6258615849,116100000000,5249000000
6260557680,115877000000,4351000000
6263592570,110884000000,33000000
5285926325,115858000000,3109000000
6262694304,111459000000,387000000
6263564429,110856000000,4000000
6263566253,110856000000,4000000
6232112359,116100000000,5247000000
6239580865,116100000000,5247000000
6263499060,110876000000,23000000
6231779642,115966000000,5112000000
6262775540,111493000000,391000000
6262835919,115865000000,3740000000
6263621596,111013000000,159000000
4665712499,115991000000,5136000000
6262729878,110942000000,51000000
6262748841,111600000000,470000000
5007599851,116100000000,5243000000
6234237242,116100000000,5243000000
6262695352,111451000000,385000000
6262701436,111465000000,392000000
6263604888,111257000000,400000000
4132017211,116100000000,5242000000
5252051817,116100000000,5242000000
6206862915,116100000000,5242000000
6206868490,116100000000,5242000000
6254406443,115871000000,4478000000
6257669344,115876000000,4410000000
6263516664,111640000000,782000000
6263570995,111664000000,583000000
6263638126,112807000000,1949000000
6263640109,112845000000,1911000000
4665617026,116100000000,5241000000
6221861739,114120000000,1836000000
6262708068,111464000000,351000000
