0.0,8718
1.0,1805
2.0,2194
3.0,2447
4.0,2456
5.0,2892
6.0,3625
7.0,2128
8.0,2160
9.0,1702
10.0,1979
11.0,1852
12.0,2278
13.0,1807
14.0,2240
15.0,2253
16.0,2415
17.0,2634
18.0,2863
19.0,2465
20.0,3095
21.0,3313
22.0,3943
23.0,2331
24.0,2486
25.0,2409
26.0,2339
27.0,2742
28.0,3102
29.0,2789
30.0,3719
31.0,2857
32.0,2850
33.0,3483
34.0,2977
35.0,2353
36.0,2973
37.0,2665
38.0,2802
39.0,2520
40.0,2701
41.0,2769
42.0,3020
43.0,3703
44.0,2920
45.0,3697
46.0,3835
47.0,3227
48.0,2590
49.0,2339
50.0,3293
51.0,2236
52.0,2252
53.0,2566
54.0,3290
55.0,2181
56.0,2486
57.0,3240
58.0,2596
59.0,2418
60.0,2617
61.0,2036
62.0,2906
63.0,2514
64.0,2845
65.0,3006
66.0,2858
67.0,2789
68.0,2536
69.0,3806
70.0,3165
71.0,3547
72.0,3266
73.0,2828
74.0,3494
75.0,2460
76.0,2336
77.0,3144
78.0,3525
79.0,2490
80.0,2491
81.0,3179
82.0,1909
83.0,1965
84.0,2335
85.0,2083
86.0,3478
87.0,2548
88.0,2255
89.0,3123
90.0,2778
91.0,3120
92.0,2959
93.0,3822
94.0,2991
95.0,3009
96.0,2457
97.0,2325
98.0,3312
99.0,2398
100.0,3026
101.0,3001
102.0,3323
103.0,2297
104.0,2185
105.0,1985
106.0,2238
107.0,1987
108.0,2050
109.0,2113
110.0,3013
111.0,2407
112.0,3751
113.0,3923
114.0,3632
115.0,3288
116.0,3166
117.0,2715
118.0,4542
119.0,3474
120.0,2315
121.0,2743
122.0,3105
123.0,2680
124.0,3724
125.0,2859
126.0,4000
127.0,3922
128.0,4059
129.0,4926
130.0,3835
131.0,1679
132.0,2176
133.0,1646
134.0,2055
135.0,2127
136.0,1966
137.0,1773
138.0,2173
139.0,1722
140.0,1848
141.0,2539
142.0,2582
143.0,1984
144.0,1995
145.0,1837
146.0,2428
147.0,2096
148.0,2230
149.0,3011
150.0,3492
151.0,2253
152.0,1960
153.0,3201
154.0,2267
155.0,1824
156.0,2151
157.0,2109
158.0,2626
159.0,2254
160.0,2390
161.0,1338
162.0,2004
163.0,1817
164.0,1736
165.0,2195
166.0,2753
167.0,1857
168.0,1879
169.0,2122
