timestamp,count
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,4
11,10
12,13
13,15
14,11
15,16
16,8
17,9
18,11
19,21
20,13
21,6
22,16
23,12
24,24
25,11
26,21
27,13
28,14
29,15
30,11
31,10
32,7
33,3
34,5
35,35
36,19
37,17
38,8
39,7
40,5
41,27
42,3
43,5
44,10
45,13
46,16
47,7
48,3
49,8
50,9
51,10
52,6
53,4
54,11
55,16
56,4
57,10
58,2
59,9
60,11
61,4
62,7
63,2
64,6
65,8
66,14
67,8
68,4
69,4
70,19
71,14
72,6
73,10
74,5
75,13
76,4
77,4
78,4
79,8
80,13
81,16
82,21
83,7
84,5
85,25
86,9
87,9
88,19
89,14
90,18
91,13
92,9
93,18
94,12
95,11
96,14
97,19
98,10
99,9
100,23
101,19
102,35
103,25
104,19
105,14
106,20
107,11
108,21
109,9
110,18
111,16
112,19
113,4
114,20
115,16
116,14
117,10
118,5
119,9
120,4
121,14
122,8
123,7
124,6
125,7
126,5
127,10
128,1
129,2
130,1
131,20
132,10
133,5
134,12
135,12
136,6
137,4
138,7
139,18
140,16
141,7
142,16
143,9
144,3
145,5
146,14
147,8
148,20
149,15
150,26
151,22
152,16
153,3
154,9
155,13
156,11
157,12
158,10
159,4
160,4
161,15
162,4
163,9
164,3
165,9
166,21
167,22
168,29
169,34
170,21
171,20
172,9
173,8
174,14
175,16
176,13
177,6
178,8
179,10
180,20
181,10
182,21
183,10
184,11
185,6
186,7
187,11
188,23
189,11
190,20
191,10
192,8
193,4
194,8
195,22
196,9
197,5
198,6
199,10
200,15
201,11
202,16
203,14
204,13
205,28
206,8
207,17
208,37
209,18
210,32
211,23
212,12
213,6
214,9
215,15
216,19
217,9
218,17
219,26
220,18
221,23
222,15
223,20
224,15
225,8
226,14
227,14
228,12
229,7
230,17
231,18
232,10
233,15
234,21
235,15
236,8
237,11
238,14
239,12
240,14
241,18
242,6
243,9
244,8
245,4
246,10
247,4
248,5
249,7
250,15
251,11
252,7
253,4
254,13
255,22
256,18
257,9
258,14
259,7
260,16
261,14
262,13
263,12
264,14
265,21
266,15
267,14
268,37
269,15
270,13
271,16
272,12
273,16
274,8
275,13
276,14
277,25
278,11
279,14
